board,company,title,location,url,source,ats,id,pay,benchmark
cake,17Life康太數位整合股份有限公司,AI 專案經理（AI Project Manager）,"中正區, 台北市, 台灣",https://www.cake.me/companies/17life/jobs/8339decc-8a8b-4e74-9e99-c8cfce87b95a-ai-project-manager-234a7ee03e8957c539dfd8afb03126,cake,sqlite,8339decc-8a8b-4e74-9e99-c8cfce87b95a-ai-project-manager-234a7ee03e8957c539dfd8afb03126,Monthly Salary TWD 0~0,market: no benchmark for this role family
cake,17Life康太數位整合股份有限公司,Java 後端工程師（Backend Engineer）,"中正區, 台北市, 台灣",https://www.cake.me/companies/17life/jobs/7590391f-5f82-482c-8bc2-83cae274d430-java-backend-engineer-abc45c605d953d5ebf37597d5f3280,cake,sqlite,7590391f-5f82-482c-8bc2-83cae274d430-java-backend-engineer-abc45c605d953d5ebf37597d5f3280,Monthly Salary TWD 0~0,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,17Life康太數位整合股份有限公司,iOS資深工程師_5481,"中正區, 台北市, 台灣",https://www.cake.me/companies/17life/jobs/a0cc7aea-fbce-4a38-9495-568539cbea33-ios-senior-engineer_5481-ebd39707bdb92b7c7519fb3a8ce055,cake,sqlite,a0cc7aea-fbce-4a38-9495-568539cbea33-ios-senior-engineer_5481-ebd39707bdb92b7c7519fb3a8ce055,Monthly Salary TWD 0~0,market: no benchmark for this role family
cake,AIFT,"AI Data Curation Part Time, Vulcan","信義區, 台北市, 台灣",https://www.cake.me/companies/aift/jobs/ai-data-curation-part-time-vulcan,cake,cake,ai-data-curation-part-time-vulcan,Hourly Wage TWD 200~200,market: no benchmark for this role family
cake,ASM 台灣先藝科技股份有限公司,【期間限定】ASM 設備工程師 FSE 熱烈招募中：林口 | 新竹 | 台中 | 台南 | 高雄,"台南市, 台灣, 新竹縣, 台灣, 高雄市, 台灣, 台中市, 台灣, 林口區, 新北市, 台灣",https://www.cake.me/companies/asm/jobs/limited-time-offer-asm-equipment-engineer-fse-recruitment-in-linkou-hsinchu-taichung-taina,cake,sqlite,limited-time-offer-asm-equipment-engineer-fse-recruitment-in-linkou-hsinchu-taichung-taina,not stated,market: no benchmark for this role family
cake,ASML Taiwan 台灣艾司摩爾,CS - Application Engineer Internship - Hsinchu,"新竹市, 新竹市, 台灣",https://www.cake.me/companies/ASML-Taiwan/jobs/j00331313-cs-application-engineer-internship-hsinchu-5c05b9e45f1fe56e56cde09ff62783,cake,sqlite,j00331313-cs-application-engineer-internship-hsinchu-5c05b9e45f1fe56e56cde09ff62783,Monthly Salary 0~0,market: interns typically NT$200-250/hour or a fixed monthly stipend
cake,ASML Taiwan 台灣艾司摩爾,CS - Upgrade Install and Relocation Associate Engineer - Hsinchu,"新竹市, 新竹市, 台灣",https://www.cake.me/companies/ASML-Taiwan/jobs/j00334839-cs-upgrade-install-and-relocation-associate-engineer-hs-904949d45a3bdf73a221176ca320e1,cake,cake,j00334839-cs-upgrade-install-and-relocation-associate-engineer-hs-904949d45a3bdf73a221176ca320e1,Monthly Salary 0~0,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,AcBel 康舒科技股份有限公司,⚡電源前期研發韌體工程師(北投)【歡迎新鮮人】,"北投區, 台北市, 台灣",https://www.cake.me/companies/acbel/jobs/power-supply-firmware-engineer-beitou-newcomers-welcome-8c3,cake,sqlite,power-supply-firmware-engineer-beitou-newcomers-welcome-8c3,Monthly Salary TWD 45000~90000,market: no benchmark for this role family
cake,Accurate愛客獵 獵才中心,資深資料科學家(經理) / Data Science Senior Manager (3010360),"新北市, 台灣",https://www.cake.me/companies/1111headhunt/jobs/senior-data-scientist-manager-data-science-senior-manager-3010360,cake,cake,senior-data-scientist-manager-data-science-senior-manager-3010360,Annual Salary TWD 1000000~1300000,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)"
cake,Advanced Energy Group | 香港商雅是達電子 與 台灣艾儀,Sr Firmware Engineer,"內湖區, 台北市, 台灣",https://www.cake.me/companies/advanced-energy/jobs/sr-firmware-engineer-7c0,cake,sqlite,sr-firmware-engineer-7c0,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,Agoda,"Lead Full Stack Software Engineer (Bangkok based, relocation provided)","Tokyo, Japan, Bangkok, Thailand, 台北市, 台灣",https://www.cake.me/companies/agoda/jobs/b02752,cake,sqlite,b02752,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,Agoda,Staff Software Engineer Back End (Bangkok based - Relocation provided),"Tokyo, Tokyo, Japan, 台北市, 台灣, Bangkok, Thailand",https://www.cake.me/companies/agoda/jobs/41b92d,cake,sqlite,41b92d,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,Aiworks,AI 研究與課程助理,"中正區, 台北市, 台灣",https://www.cake.me/companies/aiworks/jobs/ai-research-and-course-assistant,cake,sqlite,ai-research-and-course-assistant,Hourly Wage TWD 260~260,market: no benchmark for this role family
cake,Akohub,Software Developer 軟體開發工程師,"中正區, 台北市, 台灣",https://www.cake.me/companies/akohub/jobs/software-developer-ai,cake,sqlite,software-developer-ai,Annual Salary TWD 800000~1700000,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,Authme 數位身分股份有限公司,Backend Developer ( .NET ) 後端工程師,"台北市, 台灣",https://www.cake.me/companies/authme/jobs/sr-backend-developer-net-senior-backend-engineer,cake,sqlite,sr-backend-developer-net-senior-backend-engineer,Annual Salary TWD 1000000.0~1500000.0,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,BeeInventor 點子建有限公司,Mid-Level Backend Engineer,"台北市, 台灣",https://www.cake.me/companies/beeinventor/jobs/mid-level-backend-engineer,cake,sqlite,mid-level-backend-engineer,Annual Salary TWD 800000~1100000,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,BioPro Scientific Co. Ltd.,"Backend Engineer (Python, Cloud & Edge)","新竹市, 台灣, 新竹縣, 台灣, 新竹市, 新竹市, 台灣, 台灣",https://www.cake.me/companies/biopro-scientific-co-ltd/jobs/back-end-engineer-python-ai-hybrid-6ce,cake,sqlite,back-end-engineer-python-ai-hybrid-6ce,Annual Salary TWD 1100000~1400000,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,BitoGroup 幣託科技股份有限公司,Senior Frontend Engineer（每月有遠端日）,"松山區, 台北市, 台灣",https://www.cake.me/companies/bitogroup/jobs/senior-frontend-engineer-02ea8a,cake,sqlite,senior-frontend-engineer-02ea8a,Annual Salary TWD 900000~1300000,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,CMoney全曜財經資訊股份有限公司,【工程部】人工智慧工程師 AI Engineer,"板橋區, 新北市, 台灣",https://www.cake.me/companies/cmoney/jobs/343299,cake,cake,343299,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)"
cake,CMoney全曜財經資訊股份有限公司,【工程部】後端工程師 Backend Engineer,"板橋區, 新北市, 台灣",https://www.cake.me/companies/cmoney/jobs/engineering-department-backend-engineer,cake,sqlite,engineering-department-backend-engineer,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
