board,company,title,location,url,source,ats,id,pay,benchmark
greenhouse,Airbnb,"Senior Data Scientist, Guest & Host",Remote,https://careers.airbnb.com/positions/7662244?gh_jid=7662244,greenhouse:airbnb,sqlite,7662244,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)"
greenhouse,Airbnb,"Senior Staff Data Scientist, Guest & Host Marketplace AI",Remote,https://careers.airbnb.com/positions/7107054?gh_jid=7107054,greenhouse:airbnb,sqlite,7107054,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)"
greenhouse,Airbnb,"Senior Staff Software Engineer, Tech Foundations",Remote,https://careers.airbnb.com/positions/8187190?gh_jid=8187190,greenhouse:airbnb,sqlite,8187190,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Airbnb,"Senior Systems Engineer, Tech Foundations",Remote,https://careers.airbnb.com/positions/8197652?gh_jid=8197652,greenhouse:airbnb,sqlite,8197652,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,"AI Engineer, Playable Ads","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8102280,,greenhouse,8102280,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)"
greenhouse,Appier,Campaign Analyst,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/1501724,,greenhouse,1501724,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei"
greenhouse,Appier,Data Analyst Intern,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7495834,,greenhouse,7495834,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei"
greenhouse,Appier,"Data Scientist, Analytics","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/1501726,,greenhouse,1501726,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)"
greenhouse,Appier,Digital Advertising Data Analyst,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8118867,,greenhouse,8118867,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei"
greenhouse,Appier,Product Manager / Technical PM — Data Engineering,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8166843,,greenhouse,8166843,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,Research Scientist (Generative & Agentic AI),"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8076142,,greenhouse,8076142,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)"
greenhouse,Appier,Senior AI Security Engineer,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7949831,,greenhouse,7949831,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,Senior Backend Engineer (SRE / Reliability & Performance),"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8045764,,greenhouse,8045764,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,Senior Frontend Development Engineer (Enterprise Solutions),"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7830101,,greenhouse,7830101,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,"Senior Machine Learning Scientist, Advertising Incrementality","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7364432,,greenhouse,7364432,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)"
greenhouse,Appier,"Senior Software Engineer, Backend Development","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/4869920,,greenhouse,4869920,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,"Senior Software Engineer, Backend Development (Ad Cloud Platform team)","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7160226,,greenhouse,7160226,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,"Senior Software Engineer, Backend Development (BotBonnie)","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/6568368,,greenhouse,6568368,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,"Senior Software Engineer, Backend Development (Playable Ads)","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7267131,,greenhouse,7267131,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,"Senior Software Engineer, Backend Development (REC)","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7731002,,greenhouse,7731002,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,"Senior Software Engineer, Backend Development(Ad Cloud Serving Services)","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7033252,,greenhouse,7033252,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,"Senior Software Engineer, Data Backend (Ad Cloud)","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8203672,,greenhouse,8203672,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,"Software Engineer Intern, Backend Development","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/6820898,,greenhouse,6820898,not stated,market: interns typically NT$200-250/hour or a fixed monthly stipend
greenhouse,Appier,"Software Engineer Intern, Quality Assurance","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/6967119,,greenhouse,6967119,not stated,market: interns typically NT$200-250/hour or a fixed monthly stipend
greenhouse,Appier,"Software Engineer, Ads Solutions","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8129487,,greenhouse,8129487,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,Staff/Senior Machine Learning Scientist (Ad Cloud),"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/6897205,,greenhouse,6897205,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)"
greenhouse,Appier,Technical Program Manager — AdCloud AI Bidding,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8213076,,greenhouse,8213076,not stated,market: no benchmark for this role family
greenhouse,Appier,Technical Solution Engineer (Greater China Region),"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/3785463,,greenhouse,3785463,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Appier,Technical Solution Engineer Intern,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/5001910,,greenhouse,5001910,not stated,market: interns typically NT$200-250/hour or a fixed monthly stipend
greenhouse,Appier,Technical Support/Solution Engineer - Enterprise Solutions (TW or JP or KR),"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/3267291,,greenhouse,3267291,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Bybit,Client Service Analyst - Livechat (Thai required),APAC - Remote,https://job-boards.eu.greenhouse.io/bybit/jobs/4971889101,,greenhouse,4971889101,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei"
greenhouse,Canonical,"Engineering Director, Devices Software Engineering","Office Based - Taipei, Taiwan",https://job-boards.greenhouse.io/canonical/jobs/7074861,,greenhouse,7074861,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Canonical,Engineering Manager - Ubuntu Hardware Certification Quality and Test Engineering,"Office Based - Taipei, Taiwan",https://job-boards.greenhouse.io/canonical/jobs/5996326,,greenhouse,5996326,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Canonical,Linux Devices Software Engineer,"Home based - Worldwide; Office Based - Taipei, Taiwan",https://job-boards.greenhouse.io/canonical/jobs/5140562,,greenhouse,5140562,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Canonical,Linux Enablement - Software Engineering Manager,"Office Based - Taipei, Taiwan",https://job-boards.greenhouse.io/canonical/jobs/3262042,,greenhouse,3262042,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Canonical,Open Source Networking Software Engineer - ToR Switch / SmartNIC / DPU,"Home Based - Americas; Home Based - APAC; Office Based - Beijing, China; Office Based - Taipei, Taiwan",https://job-boards.greenhouse.io/canonical/jobs/5660661,,greenhouse,5660661,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Canonical,PC Platforms Kernel Engineer - Ubuntu Linux,"Office Based - Beijing, China; Office Based - Taipei, Taiwan",https://job-boards.greenhouse.io/canonical/jobs/5396437,,greenhouse,5396437,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Canonical,Python Engineer - Data Center Hardware Integration (Taipei),"Office Based - Taipei, Taiwan",https://job-boards.greenhouse.io/canonical/jobs/4536726,,greenhouse,4536726,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Canonical,Senior Ubuntu Embedded IoT System Engineer,"Office Based - Taipei, Taiwan",https://job-boards.greenhouse.io/canonical/jobs/6731174,,greenhouse,6731174,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Canonical,"Software Quality Assurance Engineer - Linux, PC, IoT","Office Based - Taipei, Taiwan",https://job-boards.greenhouse.io/canonical/jobs/7975990,,greenhouse,7975990,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Canonical,Ubuntu Enablement - Software Engineering Manager,"Office Based - Taipei, Taiwan",https://job-boards.greenhouse.io/canonical/jobs/4605464,,greenhouse,4605464,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Canonical,Ubuntu Enablement Engineer,"Office Based - Taipei, Taiwan",https://job-boards.greenhouse.io/canonical/jobs/5560823,,greenhouse,5560823,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Canonical,Ubuntu Linux Kernel Test Engineer,"Home Based - APAC; Office Based - Beijing, China; Office Based - Taipei, Taiwan",https://job-boards.greenhouse.io/canonical/jobs/7965671,,greenhouse,7965671,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
greenhouse,Cloudflare,"Principal Partner Solutions Engineer, SAARC (Based in Bangalore)",Hybrid or Remote,https://boards.greenhouse.io/cloudflare/jobs/8024889?gh_jid=8024889,greenhouse:cloudflare,sqlite,8024889,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
