board,company,title,location,url,source,ats,id,pay,benchmark
lever,Binance,AI Agent Engineer,"Asia, Taiwan, Taipei",https://jobs.lever.co/binance/3a2ca7e0-e2c9-4248-b8fe-0de5d05dee1c,lever:binance,sqlite,3a2ca7e0-e2c9-4248-b8fe-0de5d05dee1c,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
lever,Binance,"AI Backend Developer, Binance Square (Java, Golang, Python)","Taiwan, Taipei, South East Asia, Vietnam, Ho Chi Minh, Thailand, Bangkok, Hong Kong, Australia, Brisbane, Australia, Mel",https://jobs.lever.co/binance/517f9531-86cc-4260-924f-6240e4bf8b36,lever:binance,sqlite,517f9531-86cc-4260-924f-6240e4bf8b36,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
lever,Binance,AI Chatbot Product Manager,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/4e1e4873-f239-4996-a42b-9b79596cfa6d,lever:binance,sqlite,4e1e4873-f239-4996-a42b-9b79596cfa6d,not stated,market: no benchmark for this role family
lever,Binance,AI Search Product Manager - 6 month contract,"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/44b997f0-ec80-442d-93e0-3210f0915216,lever:binance,sqlite,44b997f0-ec80-442d-93e0-3210f0915216,not stated,market: no benchmark for this role family
lever,Binance,Algorithm Engineer - Recommendation & Search,"Asia, Hong Kong, Taiwan, Taipei, Australia, Sydney",https://jobs.lever.co/binance/6b21b701-03c9-42ab-8519-a294c7256b0c,lever:binance,sqlite,6b21b701-03c9-42ab-8519-a294c7256b0c,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
lever,Binance,"Algorithm Engineer, Market Growth","Asia, Hong Kong, Taiwan, Taipei, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, Japan, Tokyo, South Korea",https://jobs.lever.co/binance/16d56d5d-98c0-4942-9a22-54ca4b2b33e9,lever:binance,sqlite,16d56d5d-98c0-4942-9a22-54ca4b2b33e9,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
lever,Binance,Backend Engineer (Java) - KYC Tech,"Asia, Taiwan, Taipei, UAE, Dubai, Vietnam, Ho Chi Minh",https://jobs.lever.co/binance/81ea9e57-cc36-480b-b831-0575adf421f0,lever:binance,sqlite,81ea9e57-cc36-480b-b831-0575adf421f0,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
lever,Binance,Binance Accelarator Program - Risk Analyst,"Asia, Taiwan, Taipei, Hong Kong, South East Asia, Vietnam, Ho Chi Minh, Australia, Brisbane, Australia, Melbourne, Austr",https://jobs.lever.co/binance/35d92a17-0a6e-4bbe-8f9e-4235a3a78cc8,lever:binance,sqlite,35d92a17-0a6e-4bbe-8f9e-4235a3a78cc8,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei"
lever,Binance,Binance Accelerator Program - AI Agent Engineer,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/439d6f0a-bf27-45b5-8cd2-0783d105bb7b,lever:binance,sqlite,439d6f0a-bf27-45b5-8cd2-0783d105bb7b,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
lever,Binance,Binance Accelerator Program - AI Agent Engineer,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/53f4727b-89a8-4b19-8b1a-65781808c5dd,lever:binance,sqlite,53f4727b-89a8-4b19-8b1a-65781808c5dd,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
lever,Binance,"Binance Accelerator Program - AI Engineer, Dev Tools","Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/ba663e18-e640-4368-af28-7cfe051aab61,lever:binance,sqlite,ba663e18-e640-4368-af28-7cfe051aab61,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)"
lever,Binance,Binance Accelerator Program - AI Product Manager,"Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/fc5c7a53-3e41-4946-a37e-22da932abb6f,lever:binance,sqlite,fc5c7a53-3e41-4946-a37e-22da932abb6f,not stated,market: no benchmark for this role family
lever,Binance,Binance Accelerator Program - AI Productivity Engineer,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/fcaef5ae-d16f-4fe0-b9db-f1824b3a33df,lever:binance,sqlite,fcaef5ae-d16f-4fe0-b9db-f1824b3a33df,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
lever,Binance,Binance Accelerator Program - AI Research Scientist (LLM Reasoning & Post-Training),"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/e7f93f9f-9e39-4a3f-87e3-4dea1efb79b1,lever:binance,sqlite,e7f93f9f-9e39-4a3f-87e3-4dea1efb79b1,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)"
lever,Binance,Binance Accelerator Program - AI Supportability Engineer,"Asia, Taiwan, Taipei",https://jobs.lever.co/binance/8cd93838-3c12-4386-8dc2-8dfe69873e27,lever:binance,sqlite,8cd93838-3c12-4386-8dc2-8dfe69873e27,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
lever,Binance,Binance Accelerator Program - Applied AI Agent Developer,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/0b78f793-4313-4a2a-a4cb-8cbeb2bc7d7b,lever:binance,sqlite,0b78f793-4313-4a2a-a4cb-8cbeb2bc7d7b,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
lever,Binance,Binance Accelerator Program - Applied AI Agent Engineer (Top Talent Program),"Taiwan, Taipei, Hong Kong, Asia, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, New Zealand, Auckland, Ne",https://jobs.lever.co/binance/303def79-701c-4b29-aceb-e07877a22d1d,lever:binance,sqlite,303def79-701c-4b29-aceb-e07877a22d1d,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
lever,Binance,Binance Accelerator Program - Applied Data Scientist,"Asia, Taiwan, Taipei, Vietnam, Ho Chi Minh, Japan, Tokyo, Thailand, Bangkok, Australia, Sydney",https://jobs.lever.co/binance/ae1a07c1-c971-403c-906b-79d8c16e4f2d,lever:binance,sqlite,ae1a07c1-c971-403c-906b-79d8c16e4f2d,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)"
lever,Binance,Binance Accelerator Program - Blockchain Data Scientist (AI/LLM),"Taiwan, Taipei, UAE, Dubai, Bahrain, Manama, Australia, Sydney, Australia, Melbourne, Asia, Hong Kong, South East Asia, ",https://jobs.lever.co/binance/96e8326e-074f-4d1f-89c4-8ed1a6f96014,lever:binance,sqlite,96e8326e-074f-4d1f-89c4-8ed1a6f96014,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)"
lever,Binance,Binance Accelerator Program - Data Analyst,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/f610850c-df60-4c64-9951-23ca130f58eb,lever:binance,sqlite,f610850c-df60-4c64-9951-23ca130f58eb,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei"
lever,Binance,"Binance Accelerator Program - Data Scientist (KYB/KYC Ops), AI","Asia, Hong Kong, Taiwan, Taipei, South East Asia, Vietnam, Ho Chi Minh, Australia, Brisbane, Australia, Melbourne, Austr",https://jobs.lever.co/binance/1245204b-d029-4961-9819-bb6fc37d9b16,lever:binance,sqlite,1245204b-d029-4961-9819-bb6fc37d9b16,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)"
lever,Binance,Binance Accelerator Program - Data Scientist (LLM & Trading),"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/da139395-7bd1-4ede-a277-742bacecadcd,lever:binance,sqlite,da139395-7bd1-4ede-a277-742bacecadcd,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)"
lever,Binance,Binance Accelerator Program - Data Scientist (Recommendation/Square Community),"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/684ead60-5f7f-4ed9-bfc5-9f69c67af9a6,lever:binance,sqlite,684ead60-5f7f-4ed9-bfc5-9f69c67af9a6,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)"
lever,Binance,Binance Accelerator Program - Data Scientist (User Growth),"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/90f277fe-fd32-4027-be91-960677df96b3,lever:binance,sqlite,90f277fe-fd32-4027-be91-960677df96b3,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)"
