board,company,title,location,url,source,ats,id,pay,benchmark
remoteok,Airspace Link,Backend Software Engineer,Remote,https://remoteOK.com/remote-jobs/remote-backend-software-engineer-airspace-link-1137409,remoteok,sqlite,1137409,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
remoteok,Arango,Golang Kubernetes Engineer,Remote,https://remoteOK.com/remote-jobs/remote-golang-kubernetes-engineer-arango-1137400,remoteok,sqlite,1137400,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
remoteok,Benzinga,AI Engineer Data APIs,Remote,https://remoteOK.com/remote-jobs/remote-ai-engineer-data-apis-benzinga-1137224,remoteok,sqlite,1137224,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)"
remoteok,CoverGo,Senior Software QA Engineer,Remote,https://remoteOK.com/remote-jobs/remote-senior-software-qa-engineer-covergo-1136378,remoteok,sqlite,1136378,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
remoteok,Empire Assets,Junior Crypto Analyst & Trader,Remote,https://remoteOK.com/remote-jobs/remote-junior-crypto-analyst-trader-empire-assets-1137307,remoteok,sqlite,1137307,60000-80000,"market: ~NT$60,000-90,000/month for analyst roles in Taipei"
remoteok,Harbor,Consultant Implementation Engineer,Remote,https://remoteOK.com/remote-jobs/remote-consultant-implementation-engineer-harbor-1136987,remoteok,sqlite,1136987,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
remoteok,Interaction Design Foundation,Course Director UX UI and AI,Remote,https://remoteOK.com/remote-jobs/remote-course-director-ux-ui-and-ai-interaction-design-foundation-1137139,remoteok,sqlite,1137139,10000-750000,market: no benchmark for this role family
remoteok,Interaction Design Foundation,Course Writer and Editor UX UI and AI,Remote,https://remoteOK.com/remote-jobs/remote-course-writer-and-editor-ux-ui-and-ai-interaction-design-foundation-1137136,remoteok,sqlite,1137136,10000-750000,market: no benchmark for this role family
remoteok,Interaction Design Foundation,Education Designer UX UI and AI,Remote,https://remoteOK.com/remote-jobs/remote-education-designer-ux-ui-and-ai-interaction-design-foundation-1137138,remoteok,sqlite,1137138,10000-750000,market: no benchmark for this role family
remoteok,Lemon.io,Senior Data Engineer,Remote,https://remoteOK.com/remote-jobs/remote-senior-data-engineer-lemon-io-1136594,remoteok,sqlite,1136594,40000-180000,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
remoteok,Mirantis,Software Engineer,Remote,https://remoteOK.com/remote-jobs/remote-software-engineer-mirantis-1137387,remoteok,sqlite,1137387,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
remoteok,MultiplyMii,Brand Protection & Marketplace Compliance Analyst,Remote,https://remoteOK.com/remote-jobs/remote-brand-protection-marketplace-compliance-analyst-multiplymii-1136687,remoteok,sqlite,1136687,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei"
remoteok,Salesforge,Senior Backend Engineer Build AI Agents,Remote,https://remoteOK.com/remote-jobs/remote-senior-backend-engineer-build-ai-agents-salesforge-1137114,remoteok,sqlite,1137114,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
remoteok,Sticker Mule,AI agent engineer,Remote,https://remoteOK.com/remote-jobs/remote-ai-agent-engineer-sticker-mule-1137399,remoteok,sqlite,1137399,150000-250000,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
remoteok,SunnyData,QA Engineer,Remote,https://remoteOK.com/remote-jobs/remote-qa-engineer-sunnydata-1137300,remoteok,sqlite,1137300,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
remoteok,The AI Whistleblower Initiative,Principal Engineer,Remote,https://remoteOK.com/remote-jobs/remote-principal-engineer-the-ai-whistleblower-initiative-1137162,remoteok,sqlite,1137162,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
remoteok,Vomela,Principal Data Engineer,Remote,https://remoteOK.com/remote-jobs/remote-principal-data-engineer-vomela-1136860,remoteok,sqlite,1136860,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
remoteok,Wakacje.pl,Software Engineer GO,Remote,https://remoteOK.com/remote-jobs/remote-software-engineer-go-wakacje-pl-1135634,remoteok,sqlite,1135634,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
remoteok,eClinical Solutions,External Data Specialist,Remote,https://remoteOK.com/remote-jobs/remote-external-data-specialist-eclinical-solutions-1137375,remoteok,sqlite,1137375,not stated,market: no benchmark for this role family
remoteok,iMerit Technology,AI Response Analyst,Remote,https://remoteOK.com/remote-jobs/remote-ai-response-analyst-imerit-technology-1137309,remoteok,sqlite,1137309,20000-20000,"market: ~NT$60,000-90,000/month for analyst roles in Taipei"
remoteok,iMerit Technology,AI Trainer Image QA Evaluator,Remote,https://remoteOK.com/remote-jobs/remote-ai-trainer-image-qa-evaluator-imerit-technology-1137398,remoteok,sqlite,1137398,30000-40000,market: no benchmark for this role family
