board,company,title,location,url,source,ats,id,pay,benchmark
yourator,ACCUPASS 活動通,【ACCUPASS】.NET ( C# ) 資深後端工程師 ( .NET C# Sr. Back-end Engineer）,臺北市,https://www.yourator.co/companies/Accupass/jobs/10343,yourator,sqlite,10343,"NT$ 70,000 - 100,000 (月薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,AIFIAN,Lead Software Engineer,臺北市,https://www.yourator.co/companies/aifian/jobs/41246,yourator,sqlite,41246,"NT$ 1,800,000 - 2,500,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,AIFIAN,Sr. Software Engineer,臺北市,https://www.yourator.co/companies/aifian/jobs/23193,yourator,sqlite,23193,"NT$ 1,200,000 - 2,000,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,AIFIAN,"Sr. Software Engineer, Android",臺北市,https://www.yourator.co/companies/aifian/jobs/38445,yourator,sqlite,38445,"NT$ 1,200,000 - 2,000,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,AIFIAN,"Sr. Software Engineer, Cloud Infrastructure",臺北市,https://www.yourator.co/companies/aifian/jobs/38558,yourator,sqlite,38558,"NT$ 1,200,000 - 2,000,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,AIFT,"Machine Learning Engineer Lead, Vulcan",臺北市,https://www.yourator.co/companies/aift/jobs/46567,yourator,sqlite,46567,"NT$ 1,800,000 - 2,300,000 (年薪)","market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)"
yourator,AIFT,"Machine Learning Engineer, Vulcan",臺北市,https://www.yourator.co/companies/aift/jobs/46568,yourator,sqlite,46568,"NT$ 1,300,000 - 1,800,000 (年薪)","market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)"
yourator,AIFT,"Security Research Engineer, Cymetrics",臺北市,https://www.yourator.co/companies/aift/jobs/19684,yourator,sqlite,19684,"NT$ 840,000 - 1,200,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,AIFT,"Senior Data Engineer, Virtual Insurance",臺北市,https://www.yourator.co/companies/aift/jobs/46542,yourator,sqlite,46542,面議（經常性薪資達4萬元）,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,AIFT,"Web3 Internship- Software Engineering Intern, OneSavieLab",臺北市,https://www.yourator.co/companies/aift/jobs/32816,yourator,sqlite,32816,NT$ 200 - 200 (時薪),market: interns typically NT$200-250/hour or a fixed monthly stipend
yourator,AlfredCamera 阿福管家,Platform Engineer 平台架構工程師,臺北市,https://www.yourator.co/companies/Alfred/jobs/47546,yourator,sqlite,47546,面議（經常性薪資達4萬元）,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,DAHUA AI Corp.,AI 語言內容與教學設計專員 | 應用語言學、教學法 | AI prompt | Python | 全遠端,臺北市,https://www.yourator.co/companies/dahuachinese/jobs/46700,yourator,sqlite,46700,"NT$ 40,000 - 80,000 (月薪)",market: no benchmark for this role family
yourator,DAHUA AI Corp.,全端工程師 | 完全遠端 | 美國教育科技新創,臺北市,https://www.yourator.co/companies/dahuachinese/jobs/35475,yourator,sqlite,35475,"NT$ 60,000 - 80,000 (月薪)",market: no benchmark for this role family
yourator,DR.WU,資訊工程師,臺北市,https://www.yourator.co/companies/DRWU/jobs/46878,yourator,sqlite,46878,面議（經常性薪資達4萬元）,market: no benchmark for this role family
yourator,Dcard,GNTC - Enterprise Sales & Partnerships Manager - AI Platform,臺北市,https://www.yourator.co/companies/Dcard/jobs/48140,yourator,sqlite,48140,面議（經常性薪資達4萬元）,market: no benchmark for this role family
yourator,FUNRAISE,AI 顧問（AI Consultant）,臺北市,https://www.yourator.co/companies/funraise/jobs/46359,yourator,sqlite,46359,面議（經常性薪資達4萬元）,market: no benchmark for this role family
yourator,FUNRAISE,前端工程師 Frontend Engineer (Junior Level / Mid Level),臺北市,https://www.yourator.co/companies/funraise/jobs/47863,yourator,sqlite,47863,面議（經常性薪資達4萬元）,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,FUNRAISE,資料 / 後端工程師 Data / Backend Engineer (Mid to Senior Level),臺北市,https://www.yourator.co/companies/funraise/jobs/46487,yourator,sqlite,46487,面議（經常性薪資達4萬元）,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,GEEVERGREEN,Assistant Engine Process Engineer,桃園市,https://www.yourator.co/companies/GEEVERGREEN/jobs/47731,yourator,sqlite,47731,面議（經常性薪資達4萬元）,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,GEEVERGREEN,Assistant Engineer,桃園市,https://www.yourator.co/companies/GEEVERGREEN/jobs/45695,yourator,sqlite,45695,面議（經常性薪資達4萬元）,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,GEEVERGREEN,"Engineer (Intern, 3 Days Part Time)",桃園市,https://www.yourator.co/companies/GEEVERGREEN/jobs/47726,yourator,sqlite,47726,面議（經常性薪資達4萬元）,market: interns typically NT$200-250/hour or a fixed monthly stipend
yourator,GEEVERGREEN,Product Engineer (Guanyin),桃園市,https://www.yourator.co/companies/GEEVERGREEN/jobs/48001,yourator,sqlite,48001,面議（經常性薪資達4萬元）,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,GEEVERGREEN,Quality Engineer,桃園市,https://www.yourator.co/companies/GEEVERGREEN/jobs/43732,yourator,sqlite,43732,面議（經常性薪資達4萬元）,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,Gamania 橘子集團,[總部] Backend Engineer_24210,臺北市,https://www.yourator.co/companies/gamania/jobs/38456,yourator,sqlite,38456,"NT$ 800,000 - 1,100,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,Gamania 橘子集團,[總部] Senior Backend Engineer_24308,臺北市,https://www.yourator.co/companies/gamania/jobs/37636,yourator,sqlite,37636,"NT$ 800,000 - 1,100,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,Gamania 橘子集團,[總部] Site Reliability Engineer (SRE)_0089*,臺北市,https://www.yourator.co/companies/gamania/jobs/26610,yourator,sqlite,26610,"NT$ 700,000 - 1,200,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei"
yourator,Gamania 橘子集團,[遊戲橘子]SRE 網站可靠性工程師,臺北市,https://www.yourator.co/companies/gamania/jobs/37206,yourator,sqlite,37206,面議（經常性薪資達4萬元）,market: no benchmark for this role family
yourator,GliaCloud,(FT) AI×事業開発ポジション（グローバル環境）(新卒/AI事業開発),臺北市,https://www.yourator.co/companies/GliaCloud/jobs/47335,yourator,sqlite,47335,"NT$ 45,000 - 55,000 (月薪)",market: no benchmark for this role family
yourator,GliaCloud,(FT) Business Management Associate (สำหรับนักศึกษาจบใหม่ / สาย AI & Business Development),臺北市,https://www.yourator.co/companies/GliaCloud/jobs/47333,yourator,sqlite,47333,面議（經常性薪資達4萬元）,market: no benchmark for this role family
yourator,GliaCloud,(FT) 비즈니스 매니지먼트 어소시에이트 (신입 / AI & BD 중심),臺北市,https://www.yourator.co/companies/GliaCloud/jobs/47336,yourator,sqlite,47336,"NT$ 45,000 - 55,000 (月薪)",market: no benchmark for this role family
yourator,GliaCloud,(Intern) AI×事業開発インターン募集,臺北市,https://www.yourator.co/companies/GliaCloud/jobs/47289,yourator,sqlite,47289,NT$ 200 - 200 (時薪),market: interns typically NT$200-250/hour or a fixed monthly stipend
