verdict,tier,company,title,location,url,source,ats,id,pay,pay_junk,benchmark,family,timing,intern_kind,watchlist,agency,oem,score,fit_pos,fit_neg,fit_margin,cv_variant,reasons
keep,A,Binance,Binance Accelerator Program - Research Data Scientist,"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/ca44ee4e-392b-4745-9ad9-8e287f5a6d37,lever:binance,sqlite,ca44ee4e-392b-4745-9ad9-8e287f5a6d37,not stated,0,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,now_intern,other,1,0,0,115,0.4614,0.0129,0.5385,ai,"pos=0.461,neg=0.013,margin=0.538,watchlist,intern_window"
keep,A,Binance,Binance Accelerator Program - AI Research Scientist (LLM Reasoning & Post-Training),"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/e7f93f9f-9e39-4a3f-87e3-4dea1efb79b1,lever:binance,sqlite,e7f93f9f-9e39-4a3f-87e3-4dea1efb79b1,not stated,0,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,now_intern,other,1,0,0,115,0.4336,0.011,0.5126,ai,"pos=0.434,neg=0.011,margin=0.513,watchlist,intern_window"
keep,A,Binance,Binance Accelerator Program - Research On Chain Data Analyst,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/fb9d588a-e49e-4496-a464-9c6c5cc4ca46,lever:binance,sqlite,fb9d588a-e49e-4496-a464-9c6c5cc4ca46,not stated,0,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,now_intern,other,1,0,0,70,0.4105,0.0409,0.4597,en,"pos=0.410,neg=0.041,margin=0.460,watchlist,intern_window"
keep,A,Binance,Binance Accelerator Program - Applied Data Scientist,"Asia, Taiwan, Taipei, Vietnam, Ho Chi Minh, Japan, Tokyo, Thailand, Bangkok, Australia, Sydney",https://jobs.lever.co/binance/ae1a07c1-c971-403c-906b-79d8c16e4f2d,lever:binance,sqlite,ae1a07c1-c971-403c-906b-79d8c16e4f2d,not stated,0,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,now_intern,other,1,0,0,115,0.3906,0.0286,0.452,ai,"pos=0.391,neg=0.029,margin=0.452,watchlist,intern_window"
keep,A,Binance,Binance Accelerator Program - Data Scientist (LLM & Trading),"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/da139395-7bd1-4ede-a277-742bacecadcd,lever:binance,sqlite,da139395-7bd1-4ede-a277-742bacecadcd,not stated,0,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",ml_research,now_intern,other,1,0,0,115,0.3706,0.0129,0.4476,ai,"pos=0.371,neg=0.013,margin=0.448,watchlist,intern_window"
keep,A,Binance,Binance Accelerator Programme - LLM Data Scientist,"Asia, Taiwan, Taipei",https://jobs.lever.co/binance/e21ea35c-3cb2-479e-9d74-c8149441d9fb,lever:binance,sqlite,e21ea35c-3cb2-479e-9d74-c8149441d9fb,not stated,0,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",ml_research,now_intern,other,1,0,0,115,0.3679,0.0137,0.4442,ai,"pos=0.368,neg=0.014,margin=0.444,watchlist,intern_window"
keep,A,Binance,Binance Accelerator Program - Blockchain Data Scientist (AI/LLM),"Taiwan, Taipei, UAE, Dubai, Bahrain, Manama, Australia, Sydney, Australia, Melbourne, Asia, Hong Kong, South East Asia, Australia, Brisbane",https://jobs.lever.co/binance/96e8326e-074f-4d1f-89c4-8ed1a6f96014,lever:binance,sqlite,96e8326e-074f-4d1f-89c4-8ed1a6f96014,not stated,0,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",ml_research,now_intern,other,1,0,0,115,0.3561,0.0124,0.4337,ai,"pos=0.356,neg=0.012,margin=0.434,watchlist,intern_window"
keep,A,Binance,"Binance Accelerator Program - Data Scientist (KYB/KYC Ops), AI","Asia, Hong Kong, Taiwan, Taipei, South East Asia, Vietnam, Ho Chi Minh, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, Thailand, Bangkok",https://jobs.lever.co/binance/1245204b-d029-4961-9819-bb6fc37d9b16,lever:binance,sqlite,1245204b-d029-4961-9819-bb6fc37d9b16,not stated,0,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,now_intern,other,1,0,0,115,0.3541,0.0132,0.4308,ai,"pos=0.354,neg=0.013,margin=0.431,watchlist,intern_window"
keep,A,Binance,Binance Accelerator Program - Data Scientist (User Growth),"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/90f277fe-fd32-4027-be91-960677df96b3,lever:binance,sqlite,90f277fe-fd32-4027-be91-960677df96b3,not stated,0,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,now_intern,other,1,0,0,115,0.3349,0.0129,0.4119,ai,"pos=0.335,neg=0.013,margin=0.412,watchlist,intern_window"
keep,A,Appier,Data Analyst Intern,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7495834,,greenhouse,7495834,not stated,0,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,now_intern,other,1,0,0,70,0.3681,0.0835,0.3746,en,"pos=0.368,neg=0.084,margin=0.375,watchlist,intern_window"
