company,title,location,url,source,ats,id,pay,benchmark,family,timing,score,cv_variant
17Life康太數位整合股份有限公司,AI 專案經理（AI Project Manager）,"中正區, 台北市, 台灣",https://www.cake.me/companies/17life/jobs/8339decc-8a8b-4e74-9e99-c8cfce87b95a-ai-project-manager-234a7ee03e8957c539dfd8afb03126,cake,sqlite,8339decc-8a8b-4e74-9e99-c8cfce87b95a-ai-project-manager-234a7ee03e8957c539dfd8afb03126,Monthly Salary TWD 0~0,market: no benchmark for this role family,other,later_senior,20,zh
17Life康太數位整合股份有限公司,Java 後端工程師（Backend Engineer）,"中正區, 台北市, 台灣",https://www.cake.me/companies/17life/jobs/7590391f-5f82-482c-8bc2-83cae274d430-java-backend-engineer-abc45c605d953d5ebf37597d5f3280,cake,sqlite,7590391f-5f82-482c-8bc2-83cae274d430-java-backend-engineer-abc45c605d953d5ebf37597d5f3280,Monthly Salary TWD 0~0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,20,zh
17Life康太數位整合股份有限公司,iOS資深工程師_5481,"中正區, 台北市, 台灣",https://www.cake.me/companies/17life/jobs/a0cc7aea-fbce-4a38-9495-568539cbea33-ios-senior-engineer_5481-ebd39707bdb92b7c7519fb3a8ce055,cake,sqlite,a0cc7aea-fbce-4a38-9495-568539cbea33-ios-senior-engineer_5481-ebd39707bdb92b7c7519fb3a8ce055,Monthly Salary TWD 0~0,market: no benchmark for this role family,software,later_senior,20,zh
ACCUPASS 活動通,【ACCUPASS】.NET ( C# ) 資深後端工程師 ( .NET C# Sr. Back-end Engineer）,臺北市,https://www.yourator.co/companies/Accupass/jobs/10343,yourator,sqlite,10343,"NT$ 70,000 - 100,000 (月薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,20,en
AIFIAN,Lead Software Engineer,臺北市,https://www.yourator.co/companies/aifian/jobs/41246,yourator,sqlite,41246,"NT$ 1,800,000 - 2,500,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,20,en
AIFIAN,Sr. Software Engineer,臺北市,https://www.yourator.co/companies/aifian/jobs/23193,yourator,sqlite,23193,"NT$ 1,200,000 - 2,000,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,20,en
AIFIAN,"Sr. Software Engineer, Android",臺北市,https://www.yourator.co/companies/aifian/jobs/38445,yourator,sqlite,38445,"NT$ 1,200,000 - 2,000,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,20,en
AIFIAN,"Sr. Software Engineer, Cloud Infrastructure",臺北市,https://www.yourator.co/companies/aifian/jobs/38558,yourator,sqlite,38558,"NT$ 1,200,000 - 2,000,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,20,en
AIFT,"AI Data Curation Part Time, Vulcan","信義區, 台北市, 台灣",https://www.cake.me/companies/aift/jobs/ai-data-curation-part-time-vulcan,cake,cake,ai-data-curation-part-time-vulcan,Hourly Wage TWD 200~200,market: no benchmark for this role family,other,ft,20,en
AIFT,"Machine Learning Engineer Lead, Vulcan",臺北市,https://www.yourator.co/companies/aift/jobs/46567,yourator,sqlite,46567,"NT$ 1,800,000 - 2,300,000 (年薪)","market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,later_senior,40,ai
AIFT,"Machine Learning Engineer, Vulcan",臺北市,https://www.yourator.co/companies/aift/jobs/46568,yourator,sqlite,46568,"NT$ 1,300,000 - 1,800,000 (年薪)","market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,85,ai
AIFT,"Security Research Engineer, Cymetrics",臺北市,https://www.yourator.co/companies/aift/jobs/19684,yourator,sqlite,19684,"NT$ 840,000 - 1,200,000 (年薪)","market: ~NT$80,000-120,000/month for software engineers in Taipei",research,ft,20,ai
AIFT,"Senior Data Engineer, Virtual Insurance",臺北市,https://www.yourator.co/companies/aift/jobs/46542,yourator,sqlite,46542,面議（經常性薪資達4萬元）,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,later_senior,40,ai
AIFT,"Web3 Internship- Software Engineering Intern, OneSavieLab",臺北市,https://www.yourator.co/companies/aift/jobs/32816,yourator,sqlite,32816,NT$ 200 - 200 (時薪),market: interns typically NT$200-250/hour or a fixed monthly stipend,software,now_intern,70,en
ASM 台灣先藝科技股份有限公司,【期間限定】ASM 設備工程師 FSE 熱烈招募中：林口 | 新竹 | 台中 | 台南 | 高雄,"台南市, 台灣, 新竹縣, 台灣, 高雄市, 台灣, 台中市, 台灣, 林口區, 新北市, 台灣",https://www.cake.me/companies/asm/jobs/limited-time-offer-asm-equipment-engineer-fse-recruitment-in-linkou-hsinchu-taichung-taina,cake,sqlite,limited-time-offer-asm-equipment-engineer-fse-recruitment-in-linkou-hsinchu-taichung-taina,not stated,market: no benchmark for this role family,software,ft,10,zh
ASML Taiwan 台灣艾司摩爾,CS - Application Engineer Internship - Hsinchu,"新竹市, 新竹市, 台灣",https://www.cake.me/companies/ASML-Taiwan/jobs/j00331313-cs-application-engineer-internship-hsinchu-5c05b9e45f1fe56e56cde09ff62783,cake,sqlite,j00331313-cs-application-engineer-internship-hsinchu-5c05b9e45f1fe56e56cde09ff62783,Monthly Salary 0~0,market: interns typically NT$200-250/hour or a fixed monthly stipend,software,now_intern,70,en
ASML Taiwan 台灣艾司摩爾,CS - Upgrade Install and Relocation Associate Engineer - Hsinchu,"新竹市, 新竹市, 台灣",https://www.cake.me/companies/ASML-Taiwan/jobs/j00334839-cs-upgrade-install-and-relocation-associate-engineer-hs-904949d45a3bdf73a221176ca320e1,cake,cake,j00334839-cs-upgrade-install-and-relocation-associate-engineer-hs-904949d45a3bdf73a221176ca320e1,Monthly Salary 0~0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,20,en
AcBel 康舒科技股份有限公司,⚡電源前期研發韌體工程師(北投)【歡迎新鮮人】,"北投區, 台北市, 台灣",https://www.cake.me/companies/acbel/jobs/power-supply-firmware-engineer-beitou-newcomers-welcome-8c3,cake,sqlite,power-supply-firmware-engineer-beitou-newcomers-welcome-8c3,Monthly Salary TWD 45000~90000,market: no benchmark for this role family,software,ft,20,zh
Accurate愛客獵 獵才中心,資深資料科學家(經理) / Data Science Senior Manager (3010360),"新北市, 台灣",https://www.cake.me/companies/1111headhunt/jobs/senior-data-scientist-manager-data-science-senior-manager-3010360,cake,cake,senior-data-scientist-manager-data-science-senior-manager-3010360,Annual Salary TWD 1000000~1300000,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,later_senior,40,ai
Advanced Energy Group | 香港商雅是達電子 與 台灣艾儀,Sr Firmware Engineer,"內湖區, 台北市, 台灣",https://www.cake.me/companies/advanced-energy/jobs/sr-firmware-engineer-7c0,cake,sqlite,sr-firmware-engineer-7c0,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,10,en
Africhange Technologies Ltd.,Web3 Back-End Engineer (.Net) $49k - $70k Remote at Africhange Technologies Ltd.,remote,https://web3.career/back-end-engineer-net-afteam/28312,web3career,sqlite,28312,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Agoda,"Lead Full Stack Software Engineer (Bangkok based, relocation provided)","Tokyo, Japan, Bangkok, Thailand, 台北市, 台灣",https://www.cake.me/companies/agoda/jobs/b02752,cake,sqlite,b02752,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,10,en
Agoda,Staff Software Engineer Back End (Bangkok based - Relocation provided),"Tokyo, Tokyo, Japan, 台北市, 台灣, Bangkok, Thailand",https://www.cake.me/companies/agoda/jobs/41b92d,cake,sqlite,41b92d,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,10,en
Airbnb,"Senior Data Scientist, Guest & Host",Remote,https://careers.airbnb.com/positions/7662244?gh_jid=7662244,greenhouse:airbnb,sqlite,7662244,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,later_senior,25,ai
Airbnb,"Senior Staff Data Scientist, Guest & Host Marketplace AI",Remote,https://careers.airbnb.com/positions/7107054?gh_jid=7107054,greenhouse:airbnb,sqlite,7107054,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,later_senior,25,ai
Airbnb,"Senior Staff Software Engineer, Tech Foundations",Remote,https://careers.airbnb.com/positions/8187190?gh_jid=8187190,greenhouse:airbnb,sqlite,8187190,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,5,en
Airbnb,"Senior Systems Engineer, Tech Foundations",Remote,https://careers.airbnb.com/positions/8197652?gh_jid=8197652,greenhouse:airbnb,sqlite,8197652,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,5,en
Airspace Link,Backend Software Engineer,Remote,https://remoteOK.com/remote-jobs/remote-backend-software-engineer-airspace-link-1137409,remoteok,sqlite,1137409,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Aiworks,AI 研究與課程助理,"中正區, 台北市, 台灣",https://www.cake.me/companies/aiworks/jobs/ai-research-and-course-assistant,cake,sqlite,ai-research-and-course-assistant,Hourly Wage TWD 260~260,market: no benchmark for this role family,research,ft,20,ai
Akohub,Software Developer 軟體開發工程師,"中正區, 台北市, 台灣",https://www.cake.me/companies/akohub/jobs/software-developer-ai,cake,sqlite,software-developer-ai,Annual Salary TWD 800000~1700000,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,20,en
AlfredCamera 阿福管家,Platform Engineer 平台架構工程師,臺北市,https://www.yourator.co/companies/Alfred/jobs/47546,yourator,sqlite,47546,面議（經常性薪資達4萬元）,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,20,en
